Periods,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041
1,237000,279375.7229211619,325346.37091191683,374697.4129532944,426924.5156238573,481127.9137619283,536086.7193391785,590453.1374718689,642968.2902652132,692622.0074651603,738725.0188096886,780903.3026153065,819044.7840038111,853228.9155243535,883659.7466423517,910612.0846588952,934392.672811526,955314.4491738662,973680.7352031468,989776.3445458788
2,210000,247548.10891748525,288281.59447891364,332010.3659079824,378287.5454894938,426315.8729536074,475013.54878155055,523186.3243421624,569718.7382096826,613715.7028172306,654566.4723630152,691939.6352287525,725735.8845603389,756025.6213506929,782989.6489236028,806871.4674192742,827942.8746431243,846481.1574958308,862755.0818255731,877017.0141545762
3,194000,228687.3006190102,266317.2825186155,306714.33802927897,349465.6372617229,393834.6635857135,438822.0403029562,483324.509154188,526311.5962508497,566956.411174013,604694.741135357,639220.4249256095,670441.7219271703,698423.669247783,723333.2947198997,745395.5460920914,764861.512765553,781987.355019958,797021.3613055294,810196.6702189895
4,199000,234581.30321228364,273181.13000620867,314619.34674137377,358472.4835829013,403985.0415131804,450131.886702517,495781.32640043,539876.3281129849,581568.6898125185,620279.6571440002,655695.1781453417,687721.1477500355,716424.2792799424,741975.9054085569,764606.771506836,784574.438352294,802141.6682936683,817563.148968043,831078.0276988604
5,182000,214541.6943951539,249844.04854839185,287742.3171202514,327849.20609089464,369473.7565597931,411678.4089440105,453428.1477632073,493756.2397817249,531886.9424415999,567290.9427146132,599681.0171982521,628971.0999522938,655222.2051706006,678591.0290671224,699288.6050967043,717550.4913573744,733617.0031630534,747721.0709154967,760081.4122672995
6,207000,244011.7073615212,284163.2859863577,327267.3606807255,372883.4376967868,420225.6461971273,468227.6409418141,515712.2339944171,561579.8990924014,604948.3356341274,645215.5227578293,682054.7832969133,715368.2290666198,745225.2553313974,771804.0825104085,795344.7321704275,816115.1192910797,834388.5695316046,850430.0092280649,864488.1996666538
7,81000,95482.84201103002,111194.32929900957,128061.14113593606,145910.91040309047,164436.12242496284,183219.5116728838,201800.43938911977,219748.65616659183,236718.91394378897,252475.63934002016,266891.0021596617,279926.69833041646,291609.8825209816,302010.2931562468,311221.8517188629,319349.3945052051,326499.8750341062,332776.96013272105,338277.991173908
8,142000,167389.6736489662,194933.2686476464,224502.24742349284,255794.43552146724,288270.73314005835,321199.63774752466,353773.6097932717,385238.3848846425,414988.713333556,442611.6146454674,467882.9914403946,490735.6933693721,511217.3249133257,529450.1435578647,545598.8017787474,559847.0866634459,572382.4969733714,583386.7696153875,593030.5524283325
9,145000,170926.0752049303,199051.57714020228,229245.25265074972,261198.5433141743,294360.95989653846,327985.5455872611,361247.70014101686,393377.2240019237,423756.0805166593,451962.5642506534,477767.8433722339,501103.3488630912,522017.69093262136,540635.709971059,557125.537027594,571674.8420154906,584475.0849375975,595711.8422128956,605559.3669162551
10,145000,170926.0752049303,199051.57714020228,229245.25265074972,261198.5433141743,294360.95989653846,327985.5455872611,361247.70014101686,393377.2240019237,423756.0805166593,451962.5642506534,477767.8433722339,501103.3488630912,522017.69093262136,540635.709971059,557125.537027594,571674.8420154906,584475.0849375975,595711.8422128956,605559.3669162551
11,142000,167389.6736489662,194933.2686476464,224502.24742349284,255794.43552146724,288270.73314005835,321199.63774752466,353773.6097932717,385238.3848846425,414988.713333556,442611.6146454674,467882.9914403946,490735.6933693721,511217.3249133257,529450.1435578647,545598.8017787474,559847.0866634459,572382.4969733714,583386.7696153875,593030.5524283325
12,154000,181535.2798728225,211406.50261787,243474.2683325204,277410.8666922955,312631.64016597875,348343.2691064704,383669.9711842524,417793.7413537672,450058.1820659692,480015.4130662112,507422.39916775184,532206.3153442485,554418.7889905082,574192.409210642,591705.7427741344,607158.1080716245,620752.8488302759,632687.0600054202,643145.8103800226
13,108000,127310.45601470672,148259.10573201274,170748.1881812481,194547.880537454,219248.1632332838,244292.6822305117,269067.25251882634,292998.20822212246,315625.21859171864,336634.18578669353,355854.6695462156,373235.5977738886,388813.1766946421,402680.3908749957,414962.4689584839,425799.1926736068,435333.1667121416,443702.6135102947,451037.3215652106
14,218000,256978.5130667228,299263.75045906275,344658.3798473341,392698.4996033793,442556.4776375544,493109.3030208477,543117.2319361494,591422.3091890991,637095.3486388394,679502.3379768444,718299.2403803241,753382.9658769233,784826.597402148,812817.8260254543,837609.4280828655,859483.55558191,878728.0587337672,895621.9420855949,910427.1861223696
15,153000,180356.47935416785,210033.73312035136,241893.26659010144,275609.4974280598,310601.5645804854,346081.2998265583,381178.607735004,415080.7949813402,447135.726338268,476898.4298644825,504127.4485238054,528750.4301796756,550818.6669840763,570463.8870729106,587863.4976911854,603215.5229542763,616721.9861755338,628578.7024729175,638969.5388840485
16,152000,179177.67883551313,208660.96362283276,240312.2648476825,273808.1281638241,308571.488994992,343819.33054664615,378687.2442857556,412367.84860891313,444213.27061056695,473781.4466627539,500832.497879859,525294.5450151025,547218.5449776445,566735.3649351791,584021.2526082365,599272.9378369281,612691.1235207919,624470.3449404148,634793.2673880742
17,138000,162674.47157434747,189442.19065757183,218178.240453817,248588.9584645245,280150.4307980849,312151.7606278761,343808.1559962781,374386.5993949343,403298.89042275154,430143.6818385529,454703.1888646088,476912.1527110799,496816.8368875982,514536.0550069389,530229.8214469516,544076.7461940531,556259.0463544031,566953.3394853766,576325.4664444359
18,70000,82516.03630582841,96093.86482630456,110670.12196932746,126095.84849649794,142105.2909845358,158337.8495938502,174395.44144738745,189906.2460698942,204571.90093907688,218188.82412100508,230646.54507625088,241911.961520113,252008.540450231,260996.5496412009,268957.15580642474,275980.9582143748,282160.3858319436,287585.02727519104,292339.0047181921
19,105000,123774.05445874264,144140.79723945682,166005.1829539912,189143.7727447469,213157.9364768037,237506.77439077527,261593.1621710812,284859.3691048413,306857.8514086153,327283.2361815076,345969.81761437625,362867.9422801695,378012.81067534647,391494.8244618014,403435.7337096371,413971.43732156215,423240.5787479154,431377.54091278656,438508.5070772881
20,252000,297057.7307009823,345937.9133746964,398412.43908957887,453945.0545873926,511579.0475443289,570016.2585378607,627823.5892105948,683662.4858516192,736458.8433806768,785479.7668356183,830327.562274503,870883.0614724067,907230.7456208316,939587.5787083232,968245.760903129,993531.4495717492,1015777.388994997,1035306.0981906876,1052420.4169854915
21,240000,282912.124477126,329464.6794044728,379440.4181805513,432328.6234165644,487218.1405184085,542872.627178915,597927.2278196141,651107.1293824944,701389.3746482636,748075.9684148745,790788.1545471457,829412.4394975302,864029.2815436492,894845.313055546,922138.819907742,946220.4281635706,967407.0371380924,986005.8078006548,1002305.1590338014
22,210000,247548.10891748525,288281.59447891364,332010.3659079824,378287.5454894938,426315.8729536074,475013.54878155055,523186.3243421624,569718.7382096826,613715.7028172306,654566.4723630152,691939.6352287525,725735.8845603389,756025.6213506929,782989.6489236028,806871.4674192742,827942.8746431243,846481.1574958308,862755.0818255731,877017.0141545762
23,243000,286448.5260330901,333582.9878970286,384183.4234078082,437732.7312092714,493308.36727488856,549658.5350186514,605401.3181673592,659245.9684997755,710156.7418313669,757426.9180200604,800673.0064789851,839780.0949912494,874829.6475629447,906030.8794687404,933665.5551565888,958048.1835156152,979499.6251023186,998330.8803981632,1014833.973521724
24,233000,274660.5208465432,319855.2929218423,368373.4059836186,419719.03856691456,473007.61141995486,527038.8422195299,580487.6836748753,632116.5047755049,680932.1845543559,726257.0860027741,767723.5000395207,805221.243345519,838828.427498626,868745.6580914259,895243.1043270995,918622.3323421332,939190.998554898,957247.3050731358,973071.2585619822
