Year,Conservative,Moderate,Advanced
2022,0.16,0.16,0.16
2023,0.1584761904761905,0.1584761904761905,0.1584761904761905
2024,0.1667809523809524,0.14765714285714288,0.1321904761904762
2025,0.1644952380952381,0.13036190476190476,0.10590476190476192
2026,0.15862857142857145,0.1264,0.1017904761904762
2027,0.15276190476190477,0.12243809523809525,0.0976
2028,0.1468952380952381,0.11847619047619048,0.09340952380952382
2029,0.14102857142857145,0.11451428571428572,0.08929523809523811
2030,0.1351619047619048,0.11055238095238096,0.08510476190476192
2031,0.13432380952380954,0.10895238095238097,0.08373333333333334
2032,0.1334857142857143,0.10735238095238096,0.08243809523809524
2033,0.1325714285714286,0.10575238095238096,0.08106666666666668
2034,0.13173333333333334,0.10422857142857143,0.0796952380952381
2035,0.13081904761904764,0.10262857142857144,0.07832380952380953
2036,0.1299809523809524,0.10102857142857144,0.07695238095238097
2037,0.1290666666666667,0.09942857142857144,0.07565714285714287
2038,0.12822857142857144,0.09790476190476191,0.07428571428571429
2039,0.1273142857142857,0.09630476190476192,0.07291428571428572
2040,0.1264761904761905,0.09470476190476192,0.07154285714285714
2041,0.12563809523809524,0.09310476190476191,0.07024761904761906
