Year,Conservative,Moderate,Advanced
2022,1600.0,1600.0,1600.0
2023,1738.191632928475,1738.191632928475,1738.191632928475
2024,1700.4048582995952,1674.493927125506,1655.0607287449393
2025,1662.6180836707151,1609.7165991902834,1571.9298245614034
2026,1624.8313090418353,1546.0188933873144,1487.719298245614
2027,1587.0445344129555,1481.2415654520917,1404.5883940620784
2028,1549.2577597840755,1416.4642375168692,1321.4574898785424
2029,1511.4709851551956,1352.7665317139001,1237.246963562753
2030,1472.6045883940621,1287.9892037786774,1154.1160593792172
2031,1434.817813765182,1223.2118758434547,1070.9851551956815
2032,1397.0310391363023,1159.5141700404859,986.774628879892
2033,1359.2442645074223,1094.7368421052631,903.6437246963562
2034,1321.4574898785424,1029.9595141700404,820.5128205128204
2035,1283.6707152496626,966.2618083670715,736.3022941970311
2036,1262.0782726045884,951.1470985155196,727.6653171390013
2037,1241.5654520917678,934.9527665317139,719.0283400809716
2038,1219.9730094466936,919.8380566801619,710.391363022942
2039,1198.3805668016194,904.7233468286099,701.7543859649122
2040,1177.8677462887988,889.608636977058,693.1174089068826
2041,1156.2753036437246,874.493927125506,684.4804318488528
