2022,2023,2024,2025,2026
237,275.6580522,315.899773,356.9161052,397.5594381
210,244.2539703,279.9111913,316.2547767,352.2678566
194,225.644144,258.5846243,292.1591747,325.4284008
199,231.4597147,265.2491765,299.6890503,333.8157308
182,211.6867743,242.5896991,274.0874732,305.298809
207,240.7646279,275.91246,311.7368514,347.2354586
81,94.2122457,107.9657452,121.9839853,135.8747447
142,165.1622085,189.2732817,213.8484681,238.2001697
145,168.6515509,193.272013,218.3663935,243.2325676
145,168.6515509,193.272013,218.3663935,243.2325676
142,165.1622085,189.2732817,213.8484681,238.2001697
154,179.1195782,205.2682069,231.9201696,258.3297615
108,125.6163276,143.9543269,162.6453138,181.1663262
218,253.5588835,290.5744748,328.3025778,365.6875845
153,177.9564641,203.9352965,230.4141945,256.6522955
152,176.7933499,202.6023861,228.9082194,254.9748295
138,160.5097519,183.94164,207.8245676,231.4903058
70,81.41799011,93.30373042,105.4182589,117.4226189
105,122.1269852,139.9555956,158.1273884,176.1339283
252,293.1047644,335.8934295,379.5057321,422.7214279
240,279.1473947,319.8985043,361.4340306,402.5918361
210,244.2539703,279.9111913,316.2547767,352.2678566
243,282.6367371,323.8972356,365.9519559,407.6242341
233,271.0055956,310.5681313,350.8922047,390.8495742
211,245.4170845,281.2441017,317.7607519,353.9453226
184,214.0130026,245.25552,277.0994234,308.653741
195,226.8072582,259.9175348,293.6651498,327.1058668
191,222.1548016,254.585893,287.6412493,320.3960029
245,284.9629654,326.5630565,368.9639062,410.979166
217,252.3957693,289.2415643,326.7966026,364.0101185
108,125.6163276,143.9543269,162.6453138,181.1663262
151,175.6302358,201.2694756,227.4022442,253.2973635
128,148.8786105,170.6125356,192.7648163,214.7156459
156,181.4458065,207.9340278,234.9321199,261.6846935
135,157.0204095,179.9429087,203.3066422,226.4579078
147,170.9777792,195.9378339,221.3783437,246.5874996
168,195.4031763,223.928953,253.0038214,281.8142853
160,186.0982631,213.2656695,240.9560204,268.3945574
157,182.6089207,209.2669382,236.438095,263.3621594
160,186.0982631,213.2656695,240.9560204,268.3945574
157,182.6089207,209.2669382,236.438095,263.3621594
58,67.46062037,77.30880521,87.34655739,97.29302706
60,69.78684866,79.97462608,90.35850764,100.647959
160,186.0982631,213.2656695,240.9560204,268.3945574
194,225.644144,258.5846243,292.1591747,325.4284008
158,183.7720348,210.5998487,237.9440701,265.0396254
226,262.8637966,301.2377582,340.3503788,379.1073123
224,260.5375683,298.5719374,337.3384285,375.7523804
201,233.785943,267.9149974,302.7010006,337.1706627
172,200.0556328,229.2605948,259.0277219,288.5241492
177,205.8712036,235.9251469,266.5575975,296.9114791
168,195.4031763,223.928953,253.0038214,281.8142853
287,333.8137594,382.5452947,432.2148615,481.4327373
197,229.1334864,262.5833556,296.6771001,330.4607988
96,111.6589579,127.9594017,144.5736122,161.0367344
139,161.6728661,185.2745504,209.3305427,233.1677717
153,177.9564641,203.9352965,230.4141945,256.6522955
117,136.0843549,155.9505209,176.1990899,196.2635201
160,186.0982631,213.2656695,240.9560204,268.3945574
137,159.3466378,182.6087295,206.3185924,229.8128398
153,177.9564641,203.9352965,230.4141945,256.6522955
156,181.4458065,207.9340278,234.9321199,261.6846935
142,165.1622085,189.2732817,213.8484681,238.2001697
150,174.4671217,199.9365652,225.8962691,251.6198976
148,172.1408934,197.2707443,222.8843188,248.2649656
70,81.41799011,93.30373042,105.4182589,117.4226189
139,161.6728661,185.2745504,209.3305427,233.1677717
269,312.8777048,358.5529069,405.1073093,451.2383496
257,298.9203351,342.5579817,387.0356077,431.1087578
227,264.0269108,302.5706687,341.8563539,380.7847783
276,321.0195039,367.88328,415.6491351,462.9806115
151,175.6302358,201.2694756,227.4022442,253.2973635
240,279.1473947,319.8985043,361.4340306,402.5918361
189,219.8285733,251.9200721,284.6292991,317.0410709
190,220.9916874,253.2529826,286.1352742,318.7185369
195,226.8072582,259.9175348,293.6651498,327.1058668
232,269.8424815,309.2352208,349.3862295,389.1721082
219,254.7219976,291.9073852,329.8085529,367.3650504
106,123.2900993,141.2885061,159.6333635,177.8113943
156,181.4458065,207.9340278,234.9321199,261.6846935
146,169.8146651,194.6049235,219.8723686,244.9100336
139,161.6728661,185.2745504,209.3305427,233.1677717
140,162.8359802,186.6074608,210.8365178,234.8452377
154,179.1195782,205.2682069,231.9201696,258.3297615
173,201.218747,230.5935052,260.533697,290.2016152
186,216.3392309,247.9213408,280.1113737,312.008673
140,162.8359802,186.6074608,210.8365178,234.8452377
140,162.8359802,186.6074608,210.8365178,234.8452377
144,167.4884368,191.9391026,216.8604183,241.5551017
95,110.4958437,126.6264913,143.0676371,159.3592685
127,147.7154963,169.2796252,191.2588412,213.0381799
261,303.5727917,347.8896234,393.0595082,437.8186218
227,264.0269108,302.5706687,341.8563539,380.7847783
229,266.3531391,305.2364895,344.8683042,384.1397103
215,250.069541,286.5757434,323.7846524,360.6551865
233,271.0055956,310.5681313,350.8922047,390.8495742
