Year,Diesel Price in Kenya (USD/liter) - Historical,Diesel Price in Kenya (USD/liter) - 450,Diesel Price in Kenya (USD/liter) - Current Policies,Diesel Price in Kenya (USD/liter) - New Policies
2022,1.1928964059196618,,,
2023,1.371010547805376,,,
2024,1.3196954548950242,,,
2025,1.2869260700389105,1.2869260700389105,1.2869260700389105,1.2869260700389105
2026,,1.3252675915738628,1.3495266554413639,1.3419996919422987
2027,,1.363609113108815,1.4121272408438172,1.3970733138456872
2028,,1.4019506346437676,1.4747278262462702,1.4521469357490757
2029,,1.4402921561787199,1.537328411648724,1.5072205576524642
2030,,1.4786336777136722,1.599928997051177,1.5622941795558525
2031,,1.4668886282928573,1.6245241452338992,1.5802288635489024
2032,,1.4551435788720426,1.6491192934166217,1.598163547541952
2033,,1.4433985294512275,1.673714441599344,1.6160982315350019
2034,,1.4316534800304126,1.6983095897820661,1.6340329155280515
2035,,1.4199084306095977,1.7229047379647888,1.6519675995211012
2036,,1.408163381188783,1.747499886147511,1.669902283514151
2037,,1.3964183317679681,1.7720950343302333,1.6878369675072007
2038,,1.384673282347153,1.7966901825129558,1.7057716515002506
2039,,1.3729282329263381,1.821285330695678,1.7237063354933002
2040,,1.3611831835055235,1.8458804788784002,1.74164101948635
2041,,1.3494381340847086,1.8704756270611227,1.7595757034793997
