Year,Conservative,Moderate,Advanced
2022,4042.0,4042.0,4042.0
2023,4056.0,3931.0,3388.0
2024,3743.0,3557.0,3058.0
2025,3441.0,3202.0,2679.0
2026,3318.0,3016.0,2446.0
2027,3195.0,2830.0,2213.0
2028,3071.0,2644.0,1980.0
2029,2948.0,2458.0,1747.0
2030,2845.0,2371.0,1677.0
2031,2797.0,2330.0,1578.0
2032,2748.0,2290.0,1547.0
2033,2699.0,2249.0,1517.0
2034,2650.0,2208.0,1486.0
2035,2601.0,2168.0,1454.0
2036,2553.0,2127.0,1423.0
2037,2504.0,2086.0,1392.0
2038,2455.0,2046.0,1361.0
2039,2406.0,2005.0,1330.0
2040,2357.0,1964.0,1299.0
2041,2309.0,1924.0,1284.0
