Periods,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041
1,237000,277537.17459769774,320673.62511164305,365959.8435697188,412598.3739302439,459442.020267965,505143.941214353,548386.4573112244,588090.5597427912,623540.639450773,654409.9578485203,680710.4685993008,702704.3135156969,720809.1887719777,735517.0976818651,747334.147709659,756741.3182546223,764172.4368416675,770004.6289983892,774556.9388525682
2,210000,245919.01546631445,284141.186807785,324268.2158212698,365593.49588755786,407100.5242880703,447595.8972785407,485912.0507820976,521092.90103791625,552504.3640703051,579856.924675904,603161.1747082412,622649.3917227694,638691.686253651,651724.0106041844,662194.8144262801,670530.2819977666,677114.8174546422,682282.5826568006,686316.2749326554
3,194000,227182.32857364288,262492.3344795728,299562.0660444112,337738.753343744,376083.34148516966,413493.3527239852,448890.1802463188,481390.5847683607,510408.7934744724,535677.3494625018,557206.0375876133,575209.4380677013,590029.4625390872,602068.8478914845,611741.8761842778,619442.2605122224,625525.1170771456,630299.147787711,634025.5111282626
4,199000,233037.5432276028,269257.6008321391,307282.7378496795,346443.36038868583,385776.2111110761,424150.3978972838,460459.5147887496,493797.5586025968,523563.65928567015,549483.46671669,571567.0179378096,590034.42358491,605236.4074498884,617586.0862392032,627508.4193849035,635407.2672264549,641646.8984451132,646543.9711843015,650366.3748171353
5,182000,213129.8134041392,246255.6952334137,281032.4537117672,316847.6964358835,352820.4543829942,387916.44430806855,421123.7773444846,451613.8475661941,478837.1155275978,502542.6680524501,522739.6847471424,539629.4728264002,553532.7947531643,564827.4758569597,573902.172502776,581126.2443980643,586832.8417940232,591311.5716358939,594807.438274968
6,207000,242405.8866739385,280082.0269962452,319635.8127381088,360370.7316605928,401284.8025125264,441201.6701745615,478970.4500566391,513648.7167373746,544611.4445835865,571573.2543233911,594544.5864981235,613754.4004124441,629567.5193071704,642413.6675955531,652734.8885059046,660951.277969227,667441.7486338615,672535.6886188464,676511.7567193317
7,81000,94854.47739414989,109597.3149115742,125074.88324534692,141014.63412805804,157024.48793968424,172644.1318074371,187423.2195873805,200992.97611462485,213108.82614140344,223659.0995178487,232647.88167317875,240164.7653787825,246352.5075549797,251379.2612330425,255417.9998501366,258633.1087705671,261172.85816107623,263166.139024766,264721.9917597385
8,142000,166288.09617246027,192133.5644128832,219267.07926962053,247210.84007634863,275277.4973757428,302660.0829216799,328569.10100503743,352358.05689230526,373598.1890380159,392093.7300189446,407851.84194557264,421029.5886887298,431877.2354667545,440689.5690752103,447769.8268977704,453406.1906842041,457858.5908502818,461352.98446316994,464080.528763986
9,145000,169801.22496483618,196192.72422442297,223899.48235278155,252433.60430331377,281093.21915128664,309054.31002565904,335510.701730496,359802.24119284697,381491.1085247345,400377.4003714575,416468.4301556904,429924.5799990551,441001.4024132353,449999.9120838415,457229.7528181457,462985.1947127436,467531.6596710624,471099.8785011242,473885.0469773096
10,145000,169801.22496483618,196192.72422442297,223899.48235278155,252433.60430331377,281093.21915128664,309054.31002565904,335510.701730496,359802.24119284697,381491.1085247345,400377.4003714575,416468.4301556904,429924.5799990551,441001.4024132353,449999.9120838415,457229.7528181457,462985.1947127436,467531.6596710624,471099.8785011242,473885.0469773096
