2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041
237000,275658.0522206178,315899.77300839423,356916.1051778833,397559.4381478695,436517.62556796113,472551.2296921843,504710.8213107816,532459.785890782,555681.7996138936,574601.6295867165,589667.585122532,601436.7870344659,610486.015972037,617354.1343247129,622512.0690753395,626352.6244356629,629192.5119368242,631280.7069406745,632809.2092601135
210000,244253.97032206645,279911.1912732607,316254.7767398966,352267.85658671975,386787.76949059847,418716.27947408735,447212.1201487938,471799.81028297136,492376.27813889313,509140.684443926,522490.265298446,532918.6720558559,540936.9761777543,547022.6506674672,551592.9725984021,554995.9963353975,557512.3523490847,559362.651719585,560717.0208633918
194000,225644.14401181377,258584.6243191075,292159.1747025712,325428.40084677923,357318.2251484576,386814.08675225213,413138.8157565048,435853.15807093546,454861.8950425965,470349.0132481983,482681.4831804692,492315.344661124,499722.73037373496,505344.7344261363,509566.8413528095,512710.58709079574,515035.22074153536,516744.5449219023,517995.7240357048
199000,231459.71473376773,265249.1764922804,299689.05033923534,333815.73076551064,366527.45775537664,396783.5219778256,423786.7233790951,447086.48688719666,466585.1397601892,482471.4104968632,495121.72759233695,505003.8844719777,512602.182187491,518369.0832515522,522700.0073670572,525924.7774797338,528309.3243688946,530062.7032961781,531346.1292943569
182000,211686.77427912425,242589.6991034926,274087.47317457706,305298.8090418238,335216.066891852,362887.4422108757,387583.837462288,408893.1689119085,426726.1077203741,441255.25985140254,452824.89659198653,461862.84911507514,468812.04602072045,474086.29724513815,478047.2429186151,480996.5301573444,483177.3720358734,484780.9648236403,485954.7514149395
207000,240764.6278888941,275912.459969357,311736.8513578981,347235.4586354809,381262.22992644703,412734.6183387433,440823.3755752396,465059.81299321464,485342.3313083375,501867.2460947271,515026.11865132535,525305.5481693436,533209.3050895007,539208.0413722176,543713.0729898534,547067.4821020346,549547.8901726692,551371.7566950194,552706.7777082005
81000,94212.2456956542,107965.74520540056,121983.98531396012,135874.74468344907,149189.56823208797,161504.85065429084,172496.10348596334,181979.92682343183,189916.56442500165,196382.83542837144,201531.95947225776,205554.34493583013,208647.1193828481,210994.4509717373,212757.28943081223,214069.88430079614,215040.4787632184,215754.16566326848,216276.5651901654
142000,165162.20850349255,189273.28171810962,213848.46808126342,238200.1696919724,261542.2060364999,283131.96040628763,302400.57648156537,319026.53838181874,332940.1499796325,344276.0818620833,353302.94129704445,360354.53062824544,365776.431510672,369891.5066418111,372981.91480463377,375283.00704584015,376984.54301700013,378235.69782943366,379151.50934572204
145000,168651.55093666492,193272.01302201336,218366.39346326195,243232.56764321128,267067.7456006513,289113.62154163176,308789.32105511957,325766.53567157546,339974.0968101881,351549.52021128224,360767.0879441651,367967.6545147576,373504.1025989256,377706.1159370606,380861.8144131824,383211.521279203,384949.0051934156,386226.5928539991,387161.75250091334
145000,168651.55093666492,193272.01302201336,218366.39346326195,243232.56764321128,267067.7456006513,289113.62154163176,308789.32105511957,325766.53567157546,339974.0968101881,351549.52021128224,360767.0879441651,367967.6545147576,373504.1025989256,377706.1159370606,380861.8144131824,383211.521279203,384949.0051934156,386226.5928539991,387161.75250091334
142000,165162.20850349255,189273.28171810962,213848.46808126342,238200.1696919724,261542.2060364999,283131.96040628763,302400.57648156537,319026.53838181874,332940.1499796325,344276.0818620833,353302.94129704445,360354.53062824544,365776.431510672,369891.5066418111,372981.91480463377,375283.00704584015,376984.54301700013,378235.69782943366,379151.50934572204
154000,179119.57823618207,205268.20693372452,231920.16960925751,258329.76149692782,283644.36429310555,307058.6049476641,327955.55477578216,345986.5275408457,361075.93730185495,373369.83525887906,383159.52788552706,390807.0261742943,396687.1158636865,401149.9438228092,404501.51323882816,406997.0639792915,408842.39172266214,410199.27792769566,411192.4819664873
108000,125616.3275942056,143954.32694053408,162645.31375194681,181166.32624459875,198919.42430945064,215339.80087238777,229994.8046479511,242639.90243124243,253222.0859000022,261843.78057116194,268709.2792963437,274072.4599144402,278196.1591771308,281325.9346289831,283676.38590774965,285426.51240106154,286720.63835095783,287672.220884358,288368.7535868872
218000,253558.8834771928,290574.4747503373,328302.5777585593,365687.58445669006,401522.54166166886,434667.37583500496,464248.77234493836,489773.13638898934,511133.4696870414,528536.5200417899,542394.6563574345,553220.3357532219,561544.099079764,567861.6087881326,572606.0382211984,576138.7009576983,578750.9181528593,580671.7051184264,582077.6692772353
153000,177956.46409179128,203935.29649908995,230414.19448192467,256652.29551318154,281802.51777172176,305064.71790254937,325825.9732512641,343739.86177759344,358731.28835833643,370945.3558091461,380671.4790031535,388269.3182121236,394111.2255009353,398545.074057726,401874.8800359786,404354.2259015039,406187.57099719025,407535.64625284047,408522.4009147569
152000,176793.34994740048,202602.38606445538,228908.21935459183,254974.82952943526,279960.6712503379,303070.83085743466,323696.391726746,341493.1960143412,356386.6394148179,368520.8763594131,378183.43012077996,385731.6102499528,391535.3351381841,395940.2042926429,399248.2468331291,401711.3878237162,403532.7502717184,404872.01457798533,405852.31986302644
138000,160509.7519259294,183941.63997957134,207824.56757193207,231490.30575698728,254174.8199509647,275156.41222582886,293882.2503834931,310039.8753288098,323561.5542055583,334578.16406315134,343350.74576755025,350203.69877956243,355472.87005966716,359472.0275814784,362475.3819932356,364711.65473468974,366365.2601151128,367581.17113001295,368471.1851388003
70000,81417.99010735548,93303.73042442024,105418.25891329887,117422.61886223992,128929.25649686616,139572.0931580291,149070.7067162646,157266.60342765713,164125.4260462977,169713.56148130866,174163.42176614868,177639.55735195195,180312.32539258478,182340.88355582237,183864.32419946734,184998.66544513247,185837.45078302824,186454.21723986167,186905.67362113058
105000,122126.98516103323,139955.59563663034,158127.3883699483,176133.92829335987,193393.88474529923,209358.13973704368,223606.0600743969,235899.90514148568,246188.13906944657,254570.342221963,261245.132649223,266459.33602792793,270468.4880888772,273511.3253337336,275796.48629920103,277497.99816769874,278756.17617454234,279681.3258597925,280358.5104316959
252000,293104.76438647974,335893.4295279129,379505.73208787595,422721.4279040637,464145.3233887182,502459.5353689048,536654.5441785526,566159.7723395657,590851.5337666718,610968.8213327111,626988.3183581352,639502.406467027,649124.3714133052,656427.1808009605,661911.5671180824,665995.195602477,669014.8228189016,671235.1820635019,672860.4250360702
240000,279147.3946537902,319898.50431229797,361434.0305598818,402591.83609910833,442043.1651321125,478532.89082752843,511099.5658843358,539199.7831805387,562715.7464444493,581875.0679359154,597131.7317696526,609049.9109209782,618213.6870602907,625168.7436199624,630391.9686838881,634281.1386690256,637156.9741132397,639271.60196524,640819.4524153048
210000,244253.97032206645,279911.1912732607,316254.7767398966,352267.85658671975,386787.76949059847,418716.27947408735,447212.1201487938,471799.81028297136,492376.27813889313,509140.684443926,522490.265298446,532918.6720558559,540936.9761777543,547022.6506674672,551592.9725984021,554995.9963353975,557512.3523490847,559362.651719585,560717.0208633918
243000,282636.7370869626,323897.23561620165,365951.95594188035,407624.2340503472,447568.70469626394,484514.5519628725,517488.31045789,545939.7804702955,569749.6932750049,589148.5062851143,604595.8784167733,616663.0348074904,625941.3581485443,632983.3529152119,638271.8682924367,642209.6529023885,645121.4362896552,647262.4969898055,648829.6955704961
233000,271005.5956430547,310568.13126985595,350892.204668552,390849.5742128843,429150.2394824259,464575.6815117255,496192.49521270936,523473.122837773,546303.2038398195,564903.7117877846,579715.3895930378,591285.955185783,600182.4545210322,606934.6552643802,612005.5362639413,615781.2721245124,618573.2290349369,620626.1802412538,622128.8850531918
