Periods,Solar PV,Wind
1,0.0,24379.85977160894
2,0.0,24123.537105865053
3,0.0,23995.375772993128
4,0.0,23739.053107249252
5,0.0,23482.730441505366
6,0.0,23354.569108633437
7,0.0,23098.24644288956
8,41.19262339490442,22970.08511001762
9,162.7531699697041,22713.76244427375
10,247.0281025456316,22457.43977852987
11,310.93706684902986,22329.278445657936
12,342.6588656265718,32287.946792845047
13,360.00799193176954,34289.2352984607
14,344.4145287388305,34289.2352984607
15,290.68181917621325,33288.591045652865
16,64.71037267781148,35146.93037229596
17,57.419767509079946,40626.46696234967
18,39.5354547172575,45051.72990795666
19,9.732356137281418,46199.020301262164
20,0.0,46199.020301262164
21,0.0,48493.6010878732
22,0.0,47346.31069456769
23,0.0,45051.72990795666
24,0.0,38331.88617573865
25,0.0,33288.591045652865
26,0.0,27284.72552880596
27,0.0,25405.150434584437
28,0.0,26302.279764687988
29,0.0,28285.369781613776
30,0.0,29286.014034421587
31,0.0,30286.658287229413
32,43.28478290121627,33288.591045652865
33,157.34973220976164,42921.04774896071
34,246.0118682486132,44068.338142266206
35,302.27290652389865,42921.04774896071
36,342.36137945661983,41773.75735565518
37,362.0964165786186,44068.338142266206
38,346.7344915516885,41773.75735565518
39,293.5226934451195,41773.75735565518
40,60.33404418433246,45051.72990795666
41,51.67984903407451,50672.802513612995
42,38.20371577194841,55910.164674245054
43,9.731937556371015,60210.06578752968
44,0.0,60210.06578752968
45,0.0,58066.72556391706
46,0.0,52829.363403285024
47,0.0,44068.338142266206
48,0.0,39479.176569044146
49,0.0,39479.176569044146
50,0.0,41773.75735565518
51,0.0,38331.88617573865
52,0.0,34289.2352984607
53,0.0,35146.93037229596
54,0.0,38331.88617573865
55,0.0,39479.176569044146
56,42.3902631206613,36147.57462510378
57,151.40859762236494,40626.46696234967
58,207.71736335054624,37184.59578243314
59,308.38380794426155,34289.2352984607
60,348.9697207214629,30286.658287229413
61,364.0041539869409,30286.658287229413
62,343.07457372792805,33288.591045652865
63,294.6139781330928,39479.176569044146
64,60.32780206023162,48493.6010878732
65,52.14577353925749,56988.44511908106
66,38.25047064839786,63030.84743122068
67,10.179199485311663,64911.3685270147
68,0.0,65717.30613949784
69,0.0,66657.56668739484
70,0.0,65717.30613949784
71,0.0,63971.10797911769
72,0.0,61150.32633542669
73,0.0,58066.72556391706
74,0.0,54985.92429295705
75,0.0,48493.6010878732
76,0.0,42921.04774896071
77,0.0,40626.46696234967
78,0.0,40626.46696234967
79,0.0,41773.75735565518
80,46.416714075005615,39479.176569044146
81,162.57092076992942,40626.46696234967
82,248.82259959470065,37184.59578243314
83,314.6152333290085,35146.93037229596
84,348.8331020859621,33288.591045652865
85,364.02339008117343,32287.946792845047
86,349.8153952986904,30286.658287229413
87,297.2288800951317,31287.302540037235
88,59.11131698784908,37184.59578243314
89,50.88278261523485,46199.020301262164
90,37.39627023331781,52829.363403285024
91,10.620153759550211,53907.64384812104
92,0.0,51751.082958449
93,0.0,51751.082958449
94,0.0,51751.082958449
95,0.0,50672.802513612995
96,0.0,49594.522068777
97,0.0,47346.31069456769
98,0.0,46199.020301262164
99,0.0,42921.04774896071
100,0.0,39479.176569044146
101,0.0,39479.176569044146
102,0.0,38331.88617573865
103,0.0,34289.2352984607
104,27.71233731550938,30286.658287229413
105,144.96922264235226,33288.591045652865
106,238.2991629995951,29286.014034421587
107,315.61139854355395,27284.72552880596
108,351.34856547698735,27284.72552880596
109,366.6442321073191,31287.302540037235
110,350.01708347820806,32287.946792845047
111,298.21492707802685,36147.57462510378
112,57.03026150327968,39479.176569044146
113,50.896948216050106,45051.72990795666
114,37.82121944281599,47346.31069456769
115,10.621104403128172,47346.31069456769
116,0.0,48493.6010878732
117,0.0,49594.522068777
118,0.0,49594.522068777
119,0.0,48493.6010878732
120,0.0,46199.020301262164
121,0.0,41773.75735565518
122,0.0,37184.59578243314
123,0.0,35146.93037229596
124,0.0,36147.57462510378
125,0.0,38331.88617573865
126,0.0,36147.57462510378
127,0.0,31287.302540037235
128,31.161958484275985,26302.279764687988
129,126.5571592463407,30286.658287229413
130,243.6997175680008,27284.72552880596
131,311.6543778979267,28285.369781613776
132,355.0701713910867,27284.72552880596
133,368.6264720153676,27284.72552880596
134,352.27553906759414,32287.946792845047
135,299.2240342347488,37184.59578243314
136,60.38950016416026,41773.75735565518
137,52.58288918216926,45051.72990795666
138,38.25866436863712,50672.802513612995
139,11.07170258839303,51751.082958449
140,0.0,53907.64384812104
141,0.0,54985.92429295705
142,0.0,54985.92429295705
143,0.0,53907.64384812104
144,0.0,51751.082958449
145,0.0,47346.31069456769
146,0.0,40626.46696234967
147,0.0,37184.59578243314
148,0.0,36147.57462510378
149,0.0,35146.93037229596
150,0.0,32287.946792845047
151,0.0,28285.369781613776
152,37.96385692277187,24636.18243735281
153,117.09242271360542,31287.302540037235
154,218.4542103667264,31287.302540037235
155,296.23530894587435,29286.014034421587
156,350.541575955168,27284.72552880596
157,362.7363383030573,29286.014034421587
158,346.79811757805925,34289.2352984607
159,289.5048227667836,41773.75735565518
160,101.56656289247294,49594.522068777
161,92.34687571691347,61150.32633542669
162,42.97281665996712,72571.44014195068
163,11.5083298703797,74715.67782653887
164,0.0,70319.99057313311
165,0.0,64911.3685270147
166,0.0,62090.58688332368
167,0.0,60210.06578752968
168,0.0,54985.92429295705
169,0.0,46199.020301262164
170,0.0,41773.75735565518
171,0.0,38331.88617573865
172,0.0,34289.2352984607
173,0.0,32287.946792845047
174,0.0,31287.302540037235
175,0.0,32287.946792845047
176,59.1630411630669,29286.014034421587
177,137.78171985120005,35146.93037229596
178,179.5121963912104,33288.591045652865
179,303.3041204127534,31287.302540037235
180,348.75882260138974,27284.72552880596
181,358.72815069830136,26302.279764687988
182,348.465120313463,31287.302540037235
183,297.6619226434322,47346.31069456769
184,145.8827521778651,61150.32633542669
185,59.86641973286747,71070.47376273897
186,43.89836649713404,78280.8965697973
187,11.51274896450524,78280.8965697973
188,0.0,73965.19463693301
189,0.0,69478.34833108584
190,0.0,63971.10797911769
191,0.0,55910.164674245054
192,0.0,48493.6010878732
193,0.0,40626.46696234967
194,0.0,36147.57462510378
195,0.0,37184.59578243314
196,0.0,39479.176569044146
197,0.0,40626.46696234967
198,0.0,37184.59578243314
199,0.0,34289.2352984607
200,28.21491471840738,28285.369781613776
201,142.40357678095882,37184.59578243314
202,208.4719239834669,42921.04774896071
203,297.03676746721635,46199.020301262164
204,346.07092552179665,47346.31069456769
205,360.6598900507449,46199.020301262164
206,348.0747300093625,38331.88617573865
207,298.9023207270332,48493.6010878732
208,148.20751185059868,56988.44511908106
209,59.91781039596857,72571.44014195068
210,45.21711267464723,80962.42599604088
211,11.968828924918148,83170.74434706503
212,0.0,80962.42599604088
213,0.0,79858.26682052882
214,0.0,78280.8965697973
215,0.0,73214.71144732714
216,0.0,64911.3685270147
217,0.0,58066.72556391706
218,0.0,56988.44511908106
219,0.0,54985.92429295705
220,0.0,51751.082958449
221,0.0,48493.6010878732
222,0.0,45051.72990795666
223,0.0,42921.04774896071
224,32.472925491382256,40626.46696234967
225,115.8274067407646,48493.6010878732
226,228.7823247109139,46199.020301262164
227,299.315238456093,45051.72990795666
228,346.1964077090282,41773.75735565518
229,363.979405212803,37184.59578243314
230,350.5533854322475,42921.04774896071
231,301.4387797265611,51751.082958449
232,154.6036736693504,67597.82723529183
233,61.64844779601891,76967.12739535645
234,43.94281432797175,82066.58517155297
235,12.41498959964839,84109.76837701337
236,0.0,83170.74434706503
237,0.0,80962.42599604088
238,0.0,79858.26682052882
239,0.0,77717.61058496231
240,0.0,72571.44014195068
241,0.0,66657.56668739484
242,0.0,65717.30613949784
243,0.0,63030.84743122068
244,0.0,63971.10797911769
245,0.0,62090.58688332368
246,0.0,58066.72556391706
247,0.0,55910.164674245054
248,38.74293961994977,52829.363403285024
249,144.97452545612515,62090.58688332368
250,241.9633617811214,62090.58688332368
251,309.1365936466776,63030.84743122068
252,347.10987803740034,66657.56668739484
253,365.9240547844858,64911.3685270147
254,354.11041811907694,55910.164674245054
255,303.2875322212016,52829.363403285024
256,155.49840440448187,68538.08778318884
257,54.31494040995861,82066.58517155297
258,40.02922458605499,88332.8269247195
259,12.839000638913149,88170.16061761281
260,0.0,83678.45619907897
261,0.0,81514.50558379693
262,0.0,80410.34640828484
263,0.0,78832.97615755333
264,0.0,74715.67782653887
265,0.0,66657.56668739484
266,0.0,61150.32633542669
267,0.0,53907.64384812104
268,0.0,47346.31069456769
269,0.0,39479.176569044146
270,0.0,31287.302540037235
271,0.0,28285.369781613776
272,48.016258721310216,28285.369781613776
273,158.5914912952884,39479.176569044146
274,246.2580964432914,39479.176569044146
275,313.66871343475447,38331.88617573865
276,351.56887283725706,40626.46696234967
277,368.6072873999343,39479.176569044146
278,355.4844477126681,32287.946792845047
279,306.1101950486216,41773.75735565518
280,158.71311070637995,51751.082958449
281,53.4948456741388,62090.58688332368
282,39.64415261850648,70319.99057313311
283,12.415623431352566,72571.44014195068
284,0.0,71070.47376273897
285,0.0,69478.34833108584
286,0.0,68538.08778318884
287,0.0,67597.82723529183
288,0.0,63030.84743122068
289,0.0,55910.164674245054
290,0.0,48493.6010878732
291,0.0,42921.04774896071
292,0.0,39479.176569044146
293,0.0,35146.93037229596
294,0.0,29286.014034421587
295,0.0,22841.923777145686
296,44.47480952374754,19253.406456731438
297,161.19829088615376,21047.66511693857
298,242.62590313142647,18356.277126627883
299,312.2590382333793,17459.147796524325
300,355.04431530087857,16031.820095010358
301,370.4522607794301,18356.277126627883
302,358.88549101572187,23739.053107249252
303,309.4685076733483,30286.658287229413
304,162.07568262959788,35146.93037229596
305,51.028509424772544,38331.88617573865
306,39.22925271102148,38331.88617573865
307,12.85927556973609,38331.88617573865
308,0.0,36147.57462510378
309,0.0,37184.59578243314
310,0.0,41773.75735565518
311,0.0,45051.72990795666
312,0.0,45051.72990795666
313,0.0,39479.176569044146
314,0.0,35146.93037229596
315,0.0,25405.150434584437
316,0.0,20150.53578683501
317,0.0,17459.147796524325
318,0.0,17459.147796524325
319,0.0,14565.358690033374
320,39.568742080381206,10899.205177590942
321,150.54005127032644,12365.666582567917
322,243.95660872354944,10165.974475102461
323,315.3040705970712,8963.796000631059
324,354.4037367365765,7859.636825118987
325,370.229601126186,9537.491015826612
326,355.30748730325223,14565.358690033374
327,307.4156506716094,26302.279764687988
328,164.84244108579747,40626.46696234967
329,64.24086709328749,48493.6010878732
330,41.32423680806801,55910.164674245054
331,12.844865196157055,61150.32633542669
332,0.0,60210.06578752968
333,0.0,62090.58688332368
334,0.0,61150.32633542669
335,0.0,55910.164674245054
336,0.0,48493.6010878732
337,0.0,41773.75735565518
338,0.0,41773.75735565518
339,0.0,34289.2352984607
340,0.0,24636.18243735281
341,0.0,17459.147796524325
342,0.0,14565.358690033374
343,0.0,13098.897285056406
344,35.82723246676425,13098.897285056406
345,153.6093580744111,20150.53578683501
346,240.8193722864117,22841.923777145686
347,309.14864434304303,23739.053107249252
348,352.4330390912867,27284.72552880596
