Periods,Solar PV,Wind
1,0.0,26204.016162419477
2,0.0,25940.32316782384
3,0.0,25808.476670526026
4,0.0,25544.783675930397
5,0.0,25281.09068133476
6,0.0,25149.24418403694
7,0.0,24885.551189441303
8,39.41888489705455,24753.704692143492
9,151.37816740262605,24490.011697547856
10,239.36406337166903,24226.31870295222
11,307.37096242116974,24094.472205654405
12,343.5091241838355,34556.87418244063
13,366.4263271507218,36615.70794793733
14,359.5096292886022,36615.70794793733
15,324.7306074791669,35586.29106518898
16,264.85152195664244,37585.71277335322
17,184.86165606657323,43487.11128221227
18,93.1926816202352,48039.61870333207
19,9.732356137281418,49198.851884496136
20,0.0,49198.851884496136
21,0.0,51417.42275248823
22,0.0,50308.13731849218
23,0.0,48039.61870333207
24,0.0,41126.55187866863
25,0.0,35586.29106518898
26,0.0,29409.78976869893
27,0.0,27350.95600320225
28,0.0,28380.372885950583
29,0.0,30439.206651447275
30,0.0,31468.6235341956
31,0.0,32498.04041694395
32,40.982056754756286,35586.29106518898
33,147.11579048371073,45847.67068575586
34,238.46348831937652,47027.95038752768
35,299.0355036310012,45847.67068575586
36,343.1635737128729,44667.39098398404
37,368.5336898005006,47027.95038752768
38,361.9184911301102,44667.39098398404
39,327.89737829386013,44667.39098398404
40,269.46335563436946,48039.61870333207
41,189.92545519895933,53635.99362048036
42,95.27931182312196,59023.951442746926
43,9.731937556371015,63033.43325185356
44,0.0,63033.43325185356
45,0.0,61098.839454964436
46,0.0,55854.564488472475
47,0.0,47027.95038752768
48,0.0,42306.83158044045
49,0.0,42306.83158044045
50,0.0,44667.39098398404
51,0.0,41126.55187866863
52,0.0,36615.70794793733
53,0.0,37585.71277335322
54,0.0,41126.55187866863
55,0.0,42306.83158044045
56,40.19924152791104,38765.99247512504
57,142.4944378196083,43487.11128221227
58,203.9271168485778,39946.272176896855
59,304.8556525649299,36615.70794793733
60,349.8000291075406,32498.04041694395
61,370.4485910316049,32498.04041694395
62,357.42461305482743,35586.29106518898
63,328.5930851695026,42306.83158044045
64,269.8871298618226,51417.42275248823
65,190.9333395053104,60131.54255651987
66,96.5267357331766,65935.32394718725
67,10.179199485311669,67869.91774407637
68,0.0,68699.02937131457
69,0.0,69666.32626975914
70,0.0,68699.02937131457
71,0.0,66902.62084563181
72,0.0,64000.73015029813
73,0.0,61098.839454964436
74,0.0,58073.13535646457
75,0.0,51417.42275248823
76,0.0,45847.67068575586
77,0.0,43487.11128221227
78,0.0,43487.11128221227
79,0.0,44667.39098398404
80,43.174551982260425,42306.83158044045
81,151.0853217391493,43487.11128221227
82,240.97078557117896,39946.272176896855
83,310.87571685036386,37585.71277335322
84,349.6194990015877,35586.29106518898
85,370.3395653850091,34556.87418244063
86,364.9245349318576,32498.04041694395
87,331.3455258061314,33527.45729969231
88,272.89305607828834,39946.272176896855
89,193.07613154640995,49198.851884496136
90,99.17458322355851,55854.564488472475
91,10.620153759550211,56963.849922468544
92,0.0,54745.2790544764
93,0.0,54745.2790544764
94,0.0,54745.2790544764
95,0.0,53635.99362048036
96,0.0,52526.708186484306
97,0.0,50308.13731849218
98,0.0,49198.851884496136
99,0.0,45847.67068575586
100,0.0,42306.83158044045
101,0.0,42306.83158044045
102,0.0,41126.55187866863
103,0.0,36615.70794793733
104,27.44842320725609,32498.04041694395
105,137.35437913590923,35586.29106518898
106,231.4119707340433,31468.6235341956
107,311.8201898091485,29409.78976869893
108,352.11466843241067,29409.78976869893
109,373.02267865414944,33527.45729969231
110,364.9594828134149,34556.87418244063
111,331.96285312551754,38765.99247512504
112,274.4780082478982,42306.83158044045
113,193.6200886272856,48039.61870333207
114,98.72838382978576,50308.13731849218
115,10.621104403128175,50308.13731849218
116,0.0,51417.42275248823
117,0.0,52526.708186484306
118,0.0,52526.708186484306
119,0.0,51417.42275248823
120,0.0,49198.851884496136
121,0.0,44667.39098398404
122,0.0,39946.272176896855
123,0.0,37585.71277335322
124,0.0,38765.99247512504
125,0.0,41126.55187866863
126,0.0,38765.99247512504
127,0.0,33527.45729969231
128,30.630621896881006,28380.372885950583
129,122.27133633435348,32498.04041694395
130,236.3021364255611,29409.78976869893
131,308.00927288091066,30439.206651447275
132,355.8126262320218,29409.78976869893
133,374.96494504105294,29409.78976869893
134,367.1616561148292,34556.87418244063
135,332.3813107879909,39946.272176896855
136,273.92301288596184,44667.39098398404
137,193.4980308300436,48039.61870333207
138,99.64198808290284,53635.99362048036
139,11.071702588393034,54745.2790544764
140,0.0,56963.849922468544
141,0.0,58073.13535646457
142,0.0,58073.13535646457
143,0.0,56963.849922468544
144,0.0,54745.2790544764
145,0.0,50308.13731849218
146,0.0,43487.11128221227
147,0.0,39946.272176896855
148,0.0,38765.99247512504
149,0.0,37585.71277335322
150,0.0,34556.87418244063
151,0.0,30439.206651447275
152,36.49387371218997,26468.598675132238
153,113.98164111413227,33527.45729969231
154,213.63133871856775,33527.45729969231
155,293.1725719896352,31468.6235341956
156,351.23110350143253,29409.78976869893
157,368.7848557552703,31468.6235341956
158,361.0038103720949,36615.70794793733
159,316.70091261692005,44667.39098398404
160,253.33862019382053,52526.708186484306
161,170.9286083706836,64000.73015029813
162,97.62156130642948,75123.98345524572
163,11.508329870379702,77329.87677542074
164,0.0,72807.79546906195
165,0.0,67869.91774407637
166,0.0,64968.02704874271
167,0.0,63033.43325185356
168,0.0,58073.13535646457
169,0.0,49198.851884496136
170,0.0,44667.39098398404
171,0.0,41126.55187866863
172,0.0,36615.70794793733
173,0.0,34556.87418244063
174,0.0,33527.45729969231
175,0.0,34556.87418244063
176,48.64853761887786,31468.6235341956
177,131.44791338922644,37585.71277335322
178,177.47032039192155,35586.29106518898
179,299.9339674889798,33527.45729969231
180,349.39877802556566,29409.78976869893
181,364.3540476373145,28380.372885950583
182,362.5665295704419,33527.45729969231
183,328.8920284351965,50308.13731849218
184,270.42477072632295,64000.73015029813
185,191.19158095044256,73579.85813112323
186,97.73580106996845,80283.3582239831
187,13.284114886575766,80283.3582239831
188,0.0,76557.81411335949
189,0.0,72035.7328070007
190,0.0,66902.62084563181
191,0.0,59023.951442746926
192,0.0,51417.42275248823
193,0.0,43487.11128221227
194,0.0,38765.99247512504
195,0.0,39946.272176896855
196,0.0,42306.83158044045
197,0.0,43487.11128221227
198,0.0,39946.272176896855
199,0.0,36615.70794793733
200,27.94302506715488,30439.206651447275
201,135.06843546200486,39946.272176896855
202,204.52392161580983,45847.67068575586
203,293.9551843213461,49198.851884496136
204,346.6566584271033,50308.13731849218
205,366.317634716969,49198.851884496136
206,361.80812275134633,41126.55187866863
207,329.7985927840411,51417.42275248823
208,272.43295737062,60131.54255651987
209,192.20334027036392,75123.98345524572
210,98.50983621954568,83041.99262898357
211,13.971468127941275,84921.41343578711
212,0.0,83041.99262898357
213,0.0,81906.0843445716
214,0.0,80283.3582239831
215,0.0,75785.75145129822
216,0.0,67869.91774407637
217,0.0,61098.839454964436
218,0.0,60131.54255651987
219,0.0,58073.13535646457
220,0.0,54745.2790544764
221,0.0,51417.42275248823
222,0.0,48039.61870333207
223,0.0,45847.67068575586
224,31.790892256873427,43487.11128221227
225,112.79125854013344,51417.42275248823
226,222.97229447559968,49198.851884496136
227,296.1569631508306,48039.61870333207
228,346.7421741819508,44667.39098398404
229,369.695957133373,39946.272176896855
230,364.232846125932,45847.67068575586
231,332.15078608161764,54745.2790544764
232,272.5961015152054,70491.6074828782
233,193.3049775207716,79147.44993957113
234,100.4734882523603,84033.98508859027
235,14.497335877425112,85808.84178298395
236,0.0,84921.41343578711
237,0.0,83041.99262898357
238,0.0,81906.0843445716
239,0.0,79715.4040817771
